text,clean,cluster_kmeans
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone? People who feel worthless were, in one way or another, were told that they are worthless. This is the lie that they are living with. The work of therapy is to help people see their true good selves. This gives them self esteem.",going things feelings barely sleep nothing think worthless never tried contemplated suicide always wanted fix issues never get around change feeling worthless everyone people feel worthless one way another told worthless lie living work therapy help people see true good selves gives self esteem,5
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone? I'm sorry to hear you're feeling this intense emotion of worthlessness.  I'm glad to hear this has not reached the point of suicidal ideation; however, it does sounds like you could use some additional support right now.  I would recommend seeking out counseling to help you challenge the negative beliefs you have about yourself.  Although many types of therapy would be helpful, cognitive-behavioral therapy has been shown to be a good approach for this type of struggle.  A CBT therapist can help you identify your negative thoughts and beliefs, figure out the ways your thoughts are being distorted (for example, all-or-nothing thinking, or discounting the positives about yourself), and reframe your thoughts to be more positive.  You might also consider EMDR therapy, which helps the brain reprocess traumatic or distressing memories and helps you move forward with more positive beliefs about yourself.  Best wishes!",going things feelings barely sleep nothing think worthless never tried contemplated suicide always wanted fix issues never get around change feeling worthless everyone sorry hear feeling intense emotion worthlessness glad hear reached point suicidal ideation however sounds like could use additional support right would recommend seeking counseling help challenge negative beliefs although many types therapy would helpful cognitive behavioral therapy shown good approach type struggle cbt therapist help identify negative thoughts beliefs figure ways thoughts distorted example nothing thinking discounting positives reframe thoughts positive might also consider emdr therapy helps brain reprocess traumatic distressing memories helps move forward positive beliefs best wishes,1
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone? It sounds like you may be struggling with depression. Depression can make you feel overwhelmed and paralyzed to change. I would suggest that you connect with a provider who can help you get to the root of where the worthlessness is coming from and help you develop a plan for recovery. In the meantime, small steps can go a long way. Self-care interventions such as journaling your feelings, mindfulness meditation, and regular exercise are all helpful to reconnecting with the present moment and gaining internal motivation. Focusing on one day at a time and bringing your thoughts back to the present can also be beneficial. There is hope!",going things feelings barely sleep nothing think worthless never tried contemplated suicide always wanted fix issues never get around change feeling worthless everyone sounds like may struggling depression depression make feel overwhelmed paralyzed change would suggest connect provider help get root worthlessness coming help develop plan recovery meantime small steps go long way self care interventions journaling feelings mindfulness meditation regular exercise helpful reconnecting present moment gaining internal motivation focusing one day time bringing thoughts back present also beneficial hope,1
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone? I'm glad you are interested in changing your feelings of worthlessness. Visiting your doctor is a great first step to address your lack of sleep. First, you want to make sure that you are physically healthy and that there isn't a physical condition causing your problem with sleep. Changing your feelings is something that is difficult to do, especially on your own. Make sure that you have someone you can trust and you can talk to about how you feel. This can be a friend or a family member. If you find that there isn't anyone you would feel comfortable talking to about this issue, find a therapist close to you who can help. One activity that people have found helpful in feeling better about themselves is keeping a gratitude journal. You can do this by journaling daily about the things that you are grateful for. There is no right or wrong way of doing this, as long as you focus your journal entries on the things you are grateful for in life.",going things feelings barely sleep nothing think worthless never tried contemplated suicide always wanted fix issues never get around change feeling worthless everyone glad interested changing feelings worthlessness visiting doctor great first step address lack sleep first want make sure physically healthy physical condition causing problem sleep changing feelings something difficult especially make sure someone trust talk feel friend family member find anyone would feel comfortable talking issue find therapist close help one activity people found helpful feeling better keeping gratitude journal journaling daily things grateful right wrong way long focus journal entries things grateful life,5
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone? You have
several things going on here. The sleep should be addressed with a primary care
physician to rule out any physical issues. Sleep is the big reset and allows us
to function in the day. What happens during a depression is that our thoughts
race and it is as though our “brain won’t shut off.” Medication can help with
this. I also use a Pranayama yoga breathing technique called the four
fold breath which has great usefulness for relaxing us  and often does work quite well with allowing
us to sleep.. You can read about it here:    https://billleavitttherapy.com/breathing-techniques-the-four-fold-breath/Your
thoughts on feeling worthless to everyone fall under a heading of thinking
error in Cognitive Behavioral Therapy (CBT) known as overgeneralization. In CBT
thoughts lead to emotions, so we are going to pick the statement apart and then
reframe it. First list
the evidence that contradicts the thought. Has anyone in the past made positive
comments toward you? This might be hard to recall if we are in a rut, but at
some point in life we frequently have had some positives expressed towards us
by others.  “Everyone” is an absolute. The
specifics on why you are thinking this need to be addressed. How are you
arriving at this conclusion? There may be specific people that we want more
validation from. Or specific people might have made offhand hurtful comments, (such
as a family member, teacher or co-worker) but if I extrapolate that to a global
and think that everyone thinks I am worthless, that thought is not rooted in
facts.  
What are
the Pros and Cons of thinking this way? What are the Benefits and Costs? There
are very little pros or benefits to thinking this way. It’s just going to
continue to tear you down and make you feel bad. So can we reframe the thought
about the situation? Is there another way of looking at the situation? Again,
we need the specifics on how you are arriving at this conclusion, and a one on
one therapist can definitely help you with this, but the thinking that you are
using to arrive at the conclusion needs to be re-cast into a more helpful
mindset.",going things feelings barely sleep nothing think worthless never tried contemplated suicide always wanted fix issues never get around change feeling worthless everyone several things going sleep addressed primary care physician rule physical issues sleep big reset allows us function day happens depression thoughts race though brain shut medication help also use pranayama yoga breathing technique called four fold breath great usefulness relaxing us often work quite well allowing us sleep read https billleavitttherapy com breathing techniques four fold breath thoughts feeling worthless everyone fall heading thinking error cognitive behavioral therapy cbt known overgeneralization cbt thoughts lead emotions going pick statement apart reframe first list evidence contradicts thought anyone past made positive comments toward might hard recall rut point life frequently positives expressed towards us others everyone absolute specifics thinking need addressed arriving conclusion may specific people want validation specific people might made offhand hurtful comments family member teacher co worker extrapolate global think everyone thinks worthless thought rooted facts pros cons thinking way benefits costs little pros benefits thinking way going continue tear make feel bad reframe thought situation another way looking situation need specifics arriving conclusion one one therapist definitely help thinking using arrive conclusion needs cast helpful mindset,1
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone? Hello, you sound like you have so much on your mind! I am relieved to hear that you have never tried or have contemplated suicide, but not being able to sleep, feeling worthless, and like you shouldn't be here are big issues that need addressing.Please get around to counseling.  Having someone to listen to you is a gift to yourself. You deserve the help of someone helping you change your feelings of worthlessness. You have not been able to do this alone. It's time to reach out for help.  You can do this! Best to you!",going things feelings barely sleep nothing think worthless never tried contemplated suicide always wanted fix issues never get around change feeling worthless everyone hello sound like much mind relieved hear never tried contemplated suicide able sleep feeling worthless like big issues need addressing please get around counseling someone listen gift deserve help someone helping change feelings worthlessness able alone time reach help best,5
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone? It sounds like you are having some pretty severe depression. Depression can cause insomnia, and make a person focus on their own perceptions that they are ""worthless"". It is important to remember that other people may not truly perceive you as worthless. This is the depression talking.  I think that it is extremely important when you are this depressed, to sit down and write down some positives about yourself. What are your strengths? What are some positive things that your have done in your life? It concerns me that you are having suicidal thoughts. It sounds like now is the time to act on the idea of getting some help for yourself. If you feel like you might actually take your life, I would recommend that you go to a hospital emergency room, or a mental health crisis clinic right away to get some help. The most important thing right now is to keep yourself safe. If you are feeling like you are not going to hurt yourself despite your suicidal thoughts, I would recommend that you focus on finding a therapist as soon as possible. I don't know what your situation is in terms of insurance. The back of your insurance card should inform you how to obtain mental health services. There are also low cost services available with such places as Catholic Charities, and others. Your local county mental health agency should be able to refer you to some appropriate places. Good luck. Remember to identify your strengths, and the good things about yourself.  Marie",going things feelings barely sleep nothing think worthless never tried contemplated suicide always wanted fix issues never get around change feeling worthless everyone sounds like pretty severe depression depression cause insomnia make person focus perceptions worthless important remember people may truly perceive worthless depression talking think extremely important depressed sit write positives strengths positive things done life concerns suicidal thoughts sounds like time act idea getting help feel like might actually take life would recommend go hospital emergency room mental health crisis clinic right away get help important thing right keep safe feeling like going hurt despite suicidal thoughts would recommend focus finding therapist soon possible know situation terms insurance back insurance card inform obtain mental health services also low cost services available places catholic charities others local county mental health agency able refer appropriate places good luck remember identify strengths good things marie,1
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone? You can, for sure... and the first step is to believe you are worthy TO YOURSELF. Recognizing you are in a quest is already a big first step. Taking the time to start figuring out who you are is definitely the next... do so with SELF COMPASSION and kindness. Know this is a process and just look forward for what you might find.  I do recommend you find someone to talk to (there are many options out there that can fit the situation you are in), and I also recommend you start by giving yourself the importance to invest some time and effort in this quest. YOU DESERVE IT. There are some excellent TED Talks you can google, great books you can read, or even joining a yoga practice, team or some kind of hobby may help. Anything that shows yourself you are worthy of this effort. Have patience and start!!!! the answer is out there waiting for you. Asking these questions already set you on the right path.",going things feelings barely sleep nothing think worthless never tried contemplated suicide always wanted fix issues never get around change feeling worthless everyone sure first step believe worthy recognizing quest already big first step taking time start figuring definitely next self compassion kindness know process look forward might find recommend find someone talk many options fit situation also recommend start giving importance invest time effort quest deserve excellent ted talks google great books read even joining yoga practice team kind hobby may help anything shows worthy effort patience start answer waiting asking questions already set right path,5
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone? Oftentimes we can change our feelings about ourselves by building a better relationship with ourself.  It sounds like there is a very critical aspect of your self that is alive and taking over.  Sometimes when we are stuck it is because a part of ourselves, a way that perhaps we learned to cope with difficult situations earlier in our lives, has decided to run the show.  Like a highly critical part that may actually be desperately attempting to protect us from a past hurt. Slowing down and even forming a relationship with this critical internal part will help you get some space from it.  When we can begin to observe parts of ourselves, be curious about them, get to know them like a new friend, then we have room for other ways of being.  Beginning therapy could be a great way to change this feeling of worthlessness.  Beginning to build a better relationship and understanding of yourself will deeply influence the relationships around you.  This first step may feel hard, to reach out to someone, and it could be the beginning step to a path of radically shifting your relationship with yourself and others in your life.",going things feelings barely sleep nothing think worthless never tried contemplated suicide always wanted fix issues never get around change feeling worthless everyone oftentimes change feelings building better relationship ourself sounds like critical aspect self alive taking sometimes stuck part way perhaps learned cope difficult situations earlier lives decided run show like highly critical part may actually desperately attempting protect us past hurt slowing even forming relationship critical internal part help get space begin observe parts curious get know like new friend room ways beginning therapy could great way change feeling worthlessness beginning build better relationship understanding deeply influence relationships around first step may feel hard reach someone could beginning step path radically shifting relationship others life,5
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone? Feelings of worthlessness often originate  from what you learned about yourself when you were young. Improving your self esteem needs focus on that original message from parents, teachers or siblings that may be suppressed.  Most of us need help to uncover the ""lie"" because you were born valuable!",going things feelings barely sleep nothing think worthless never tried contemplated suicide always wanted fix issues never get around change feeling worthless everyone feelings worthlessness often originate learned young improving self esteem needs focus original message parents teachers siblings may suppressed us need help uncover lie born valuable,5
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone? The feeling of being worthless is caused by your inside being not matching your outside result. Your comparison to others and you thinking you need to be someone other than who you are. You are not worthless. No one is worthless. You need to find your worth and not let yourself talk yourself out of the good you find in yourself. I hope these words resonate with you and that you start looking for your worth even if it’s as simple as I am able to get out of bed and call someone and make a joke.",going things feelings barely sleep nothing think worthless never tried contemplated suicide always wanted fix issues never get around change feeling worthless everyone feeling worthless caused inside matching outside result comparison others thinking need someone worthless one worthless need find worth let talk good find hope words resonate start looking worth even simple able get bed call someone make joke,5
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone? Hi there, I'm sorry you're feeling this way. Let me see if I can guide you in the right direction. Often when I talk to my clients about feelings of worthlessness we start with a little bit of self-exploration. We start with noticing. Start to notice when these feelings come up for you. Is there a particular time
of day, a specific person who brings it out, a phrase you hear? Just
start to notice. Usually it's tied to something but it may take a while to figure out what that something/someone is. Try to be patient.Next we start to explore. When did these feelings start? Where do you think they come from? Is there something - a statement - perhaps that repeats in your head over and over again? If so, whose voice is it? These are difficult questions, and just a few of them, so take your time answering them. (We usually do it over a few sessions.) It might even be helpful to write them down somewhere. If you have a journal that would be a great place as research has shown that our brain works differently when we put pen to paper versus typing on a computer. Now comes the good news. Our brains are able to rewire themselves. This allows us to change habits we don't want as well as statements we say to ourselves that are no longer serving us. The next step is to select an ally. Someone who is or has been in your corner, someone who is always rooting for you. If you don't have someone like that, that's ok - a lot of us don't - you can just make someone up. Close your eyes and try to describe that person in great detail from the way they look to the way they act to the way they sound. Now, pick a phrase you would like that person to say to you whenever you start to think that you're worthless. Something that will help you feel better about yourself - a characteristic, a skill, a great joke you tell, a physical attribute. This also takes time and may involve you asking for help from someone who knows you.Once you have all of that together - the noticing, answers from where these feelings and statement(s) come from, your ally, your new statement, you can try to put it altogether. When the feelings come up, notice what is bringing them up and then call upon your ally to try to change the statement in your head from the self-defeating one to the more positive, uplifting one. I hope this was helpful. Again, I do this with my clients over quite a few weeks, if not months, and I am there with them the whole time. It is quite an involved process and can bring up a lot of very difficult feeling/memories. If at any point you find it too hard to go at alone, please seek help. If you take anything away from this reply, know that there is help out there and that it is possible to change the way you feel.",going things feelings barely sleep nothing think worthless never tried contemplated suicide always wanted fix issues never get around change feeling worthless everyone hi sorry feeling way let see guide right direction often talk clients feelings worthlessness start little bit self exploration start noticing start notice feelings come particular time day specific person brings phrase hear start notice usually tied something may take figure something someone try patient next start explore feelings start think come something statement perhaps repeats head whose voice difficult questions take time answering usually sessions might even helpful write somewhere journal would great place research shown brain works differently put pen paper versus typing computer comes good news brains able rewire allows us change habits want well statements say longer serving us next step select ally someone corner someone always rooting someone like ok lot us make someone close eyes try describe person great detail way look way act way sound pick phrase would like person say whenever start think worthless something help feel better characteristic skill great joke tell physical attribute also takes time may involve asking help someone knows together noticing answers feelings statement come ally new statement try put altogether feelings come notice bringing call upon ally try change statement head self defeating one positive uplifting one hope helpful clients quite weeks months whole time quite involved process bring lot difficult feeling memories point find hard go alone please seek help take anything away reply know help possible change way feel,5
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone? I am sorry you are feeling this way.  We all have narratives that we say to ourselves whether it is valid or not.  In your case it would be beneficial to explore when and how this belief began and rewrite your story.  There are different ways to explore and rewrite.  This process requires commitment, self-reflection and courage.",going things feelings barely sleep nothing think worthless never tried contemplated suicide always wanted fix issues never get around change feeling worthless everyone sorry feeling way narratives say whether valid case would beneficial explore belief began rewrite story different ways explore rewrite process requires commitment self reflection courage,5
"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling? Let me start by saying there are never too many concerns that you can bring into counselling. In fact, most people who come to see me for counselling have more than one issue they would like to work on in psychotherapy and most times these are all interconnected. In counselling, we work together, collaboratively, to figure out which issues you would like to address first and then together we develop an individualized plan of care. Basically, it’s like a road map of where you want to go, how are you going to get there, looking at stopovers, some scenic routes others possibly not so scenic, however, necessary. Of course, these plans can also change due to internal (what we have control over like our thoughts, feelings and behaviours) or external reasons (those things that are outside our control). I would encourage you to take the next step and reach out to a professional you can trust and build rapport with by co-journeying through whatever concerns you have by examining what has been working so far as you have learned to cope with some of your issues like insomnia, depression and anxiety, as well as being a breast cancer survivor. Then to help you by developing new coping strategies. Psychotherapy can be such a powerful tool to help you get to where it is you want to be. I know you can do it and you will see first-hand how psychotherapy will help you to move past these points in your life where you are feeling stuck. I like to quote Nike where their motto is, “just do it.” You can do it.",many issues address history sexual abuse breast cancer survivor lifetime insomniac long history depression beginning anxiety low self esteem happily married almost 35 years never counseling many issues address counseling let start saying never many concerns bring counselling fact people come see counselling one issue would like work psychotherapy times interconnected counselling work together collaboratively figure issues would like address first together develop individualized plan care basically like road map want go going get looking stopovers scenic routes others possibly scenic however necessary course plans also change due internal control like thoughts feelings behaviours external reasons things outside control would encourage take next step reach professional trust build rapport co journeying whatever concerns examining working far learned cope issues like insomnia depression anxiety well breast cancer survivor help developing new coping strategies psychotherapy powerful tool help get want know see first hand psychotherapy help move past points life feeling stuck like quote nike motto,6
